"","UniqueID","Longitude","Latitude","Year"
"172","AD1_2006__Diekoetter 1  2",8.82511848904,50.821030421,"2001"
"173","AD1_2006__Diekoetter 1  3",8.81804044542,50.8165250345,"2001"
"174","AD1_2006__Diekoetter 1  4",8.82513521674,50.8165358459,"2001"
"175","AD1_2006__Diekoetter 1  5",8.84640487116,50.8210602716,"2001"
"176","AD1_2006__Diekoetter 1  6",8.85350033961,50.8210693589,"2001"
"177","AD1_2006__Diekoetter 1  7",8.84641955567,50.8165656918,"2001"
"178","AD1_2006__Diekoetter 1  8",8.85351434305,50.8165747776,"2001"
"179","AD1_2006__Diekoetter 1  9",8.87478676574,50.8210940318,"2001"
"180","AD1_2006__Diekoetter 1  10",8.88188224746,50.8211013932,"2001"
"181","AD1_2006__Diekoetter 1  11",8.87479872597,50.8165994466,"2001"
"182","AD1_2006__Diekoetter 1  12",8.88189352663,50.8166068068,"2001"
"183","AD1_2006__Diekoetter 1  13",8.83224603487,50.8120516457,"2001"
"184","AD1_2006__Diekoetter 1  14",8.83934013368,50.8120615928,"2001"
"185","AD1_2006__Diekoetter 1  15",8.8322620733,50.807557062,"2001"
"186","AD1_2006__Diekoetter 1  16",8.83935549139,50.8075670075,"2001"
"187","AD1_2006__Diekoetter 1  17",8.86062245298,50.8120888459,"2001"
"188","AD1_2006__Diekoetter 1  18",8.86771656645,50.8120970676,"2001"
"189","AD1_2006__Diekoetter 1  19",8.86063576854,50.8075942563,"2001"
"190","AD1_2006__Diekoetter 1  20",8.86772920129,50.8076024767,"2001"
"191","AD1_2006__Diekoetter 1  21",8.88899892555,50.8121191446,"2001"
"192","AD1_2006__Diekoetter 1  22",8.8960930509,50.812125641,"2001"
"193","AD1_2006__Diekoetter 1  23",8.88900951823,50.8076245502,"2001"
"194","AD1_2006__Diekoetter 1  24",8.89610296285,50.8076310455,"2001"
"195","AD1_2006__Diekoetter 1  25",8.81809264498,50.8030412935,"2001"
"196","AD1_2006__Diekoetter 1  26",8.82518537417,50.8030520997,"2001"
"197","AD1_2006__Diekoetter 1  27",8.81811003594,50.7985467062,"2001"
"198","AD1_2006__Diekoetter 1  28",8.82520208477,50.7985575107,"2001"
"199","AD1_2006__Diekoetter 1  29",8.84646358666,50.8030819314,"2001"
"200","AD1_2006__Diekoetter 1  30",8.85355633189,50.8030910129,"2001"
"201","AD1_2006__Diekoetter 1  31",8.84647825616,50.7985873376,"2001"
"202","AD1_2006__Diekoetter 1  32",8.85357032102,50.7985964177,"2001"
"203","AD1_2006__Diekoetter 1  33",8.87483458834,50.8031156701,"2001"
"204","AD1_2006__Diekoetter 1  34",8.88192734683,50.8031230268,"2001"
"205","AD1_2006__Diekoetter 1  35",8.87484653636,50.798621071,"2001"
"206","AD1_2006__Diekoetter 1  36",8.88193861447,50.7986284265,"2001"
"207","AD1_2006__Diekoetter 1  37",8.83231016399,50.79407329,"2001"
"208","AD1_2006__Diekoetter 1  38",8.83940154099,50.7940832307,"2001"
"209","AD1_2006__Diekoetter 1  39",8.83232618603,50.7895786924,"2001"
"210","AD1_2006__Diekoetter 1  40",8.83941688301,50.7895886315,"2001"
"211","AD1_2006__Diekoetter 1  41",8.86067569482,50.7941104665,"2001"
"212","AD1_2006__Diekoetter 1  42",8.86776708646,50.794118683,"2001"
"213","AD1_2006__Diekoetter 1  43",8.86068899678,50.789615863,"2001"
"214","AD1_2006__Diekoetter 1  44",8.86777970839,50.7896240782,"2001"
"215","AD1_2006__Diekoetter 1  45",8.88904128003,50.7941407461,"2001"
"216","AD1_2006__Diekoetter 1  46",8.89613268353,50.7941472383,"2001"
"217","AD1_2006__Diekoetter 1  47",8.88905186189,50.7896461377,"2001"
"218","AD1_2006__Diekoetter 1  48",8.89614258536,50.7896526289,"2001"
"219","AD1_2006__Diekoetter 1  49",8.81816218216,50.7850629234,"2001"
"220","AD1_2006__Diekoetter 1  50",8.82525219094,50.7850737228,"2001"
"221","AD1_2006__Diekoetter 1  51",8.81817955536,50.7805683222,"2001"
"222","AD1_2006__Diekoetter 1  52",8.82526888446,50.7805791199,"2001"
"223","AD1_2006__Diekoetter 1  53",8.84652224217,50.7851035355,"2001"
"224","AD1_2006__Diekoetter 1  54",8.85361226697,50.7851126112,"2001"
"225","AD1_2006__Diekoetter 1  55",8.84653689668,50.7806089278,"2001"
"226","AD1_2006__Diekoetter 1  56",8.8536262418,50.7806180021,"2001"
"227","AD1_2006__Diekoetter 1  57",8.87488236209,50.7851372528,"2001"
"228","AD1_2006__Diekoetter 1  58",8.88197240013,50.7851446048,"2001"
"229","AD1_2006__Diekoetter 1  59",8.8748942979,50.7806426398,"2001"
"230","AD1_2006__Diekoetter 1  60",8.88198365626,50.7806499906,"2001"
"231","AD1_2006__Diekoetter 1  61",8.9032425308,50.7851640753,"2001"
"232","AD1_2006__Diekoetter 1  62",8.9103325793,50.7851697036,"2001"
"233","AD1_2006__Diekoetter 1  63",8.9032517479,50.780669458,"2001"
"234","AD1_2006__Diekoetter 1  64",8.91034111672,50.7806750854,"2001"
"235","AD1_2006__Diekoetter 1  65",8.93160273718,50.7851840029,"2001"
"236","AD1_2006__Diekoetter 1  66",8.93869279336,50.7851879075,"2001"
"237","AD1_2006__Diekoetter 1  67",8.93160923555,50.7806893825,"2001"
"238","AD1_2006__Diekoetter 1  68",8.93869861204,50.7806932865,"2001"
"239","AD1_2006__Diekoetter 1  69",8.8323742276,50.7760948787,"2001"
"240","AD1_2006__Diekoetter 1  70",8.83946288556,50.7761048131,"2001"
"241","AD1_2006__Diekoetter 1  71",8.83239023327,50.7716002671,"2001"
"242","AD1_2006__Diekoetter 1  72",8.83947821191,50.7716102,"2001"
"243","AD1_2006__Diekoetter 1  73",8.86072888227,50.7761320316,"2001"
"244","AD1_2006__Diekoetter 1  74",8.86781755485,50.7761402428,"2001"
"245","AD1_2006__Diekoetter 1  75",8.86074217064,50.7716374141,"2001"
"246","AD1_2006__Diekoetter 1  76",8.8678301639,50.7716456241,"2001"
"247","AD1_2006__Diekoetter 1  77",8.88908359125,50.7761622919,"2001"
"248","AD1_2006__Diekoetter 1  78",8.89617227568,50.77616878,"2001"
"249","AD1_2006__Diekoetter 1  79",8.88909416231,50.7716676696,"2001"
"250","AD1_2006__Diekoetter 1  80",8.8961821674,50.7716741567,"2001"
"251","AD1_2006__Diekoetter 1  81",8.91743834344,50.7761856595,"2001"
